录音类型,是否关注,记录日期,录音时长,通话时长,通话号码,备注名称,地址
去电记录,未关注,"2021-01-27 11:06:13",00:00:09,00:00:09,10086,10086,中国北京市海淀区中关村街道中关村东路66号院-2
来电记录,未关注,"2021-01-22 09:44:30",00:00:10,00:00:10,18012019949,,中国北京市海淀区中关村街道中关村东路66号院-2
去电记录,未关注,"2021-01-22 09:38:59",00:00:03,00:00:03,10086,10086,中国北京市海淀区中关村街道中关村东路66号院-2
去电记录,未关注,"2021-01-22 09:37:42",00:00:25,00:00:25,18310479300,测试账号KKK,中国北京市海淀区中关村街道中关村东路66号院-2
未接来电,未关注,"2021-01-22 09:04:33",00:00:00,00:00:00,19999999999,,中国北京市海淀区中关村街道中关村东路66号院-2
未接来电,未关注,"2021-01-22 09:04:27",00:00:00,00:00:00,18888888889,,中国北京市海淀区中关村街道中关村东路66号院-2
去电记录,未关注,"2021-01-22 09:04:10",00:00:02,00:00:02,10086,10086,中国北京市海淀区中关村街道中关村东路66号院-2
去电记录,未关注,"2021-01-22 09:03:04",00:00:02,00:00:02,10086,10086,中国北京市海淀区中关村街道中关村东路66号院-2
,未关注,"2021-01-22 09:01:09",00:00:05,00:00:05,,,中国北京市海淀区中关村街道中关村东路66号院-2
未接来电,未关注,"2021-01-22 08:58:11",00:00:00,00:00:00,10086,10086,中国北京市海淀区中关村街道中关村东路66号院-2
未接来电,未关注,"2021-01-22 08:48:38",00:00:00,00:00:00,10086,10086,中国北京市海淀区中关村街道中关村东路66号院-2
去电记录,未关注,"2021-01-22 08:39:13",00:00:02,00:00:02,10086,10086,中国北京市海淀区中关村街道中关村东路66号院-2
去电记录,未关注,"2021-01-22 08:39:02",00:00:01,00:00:01,18310479300,测试账号KKK,中国北京市海淀区中关村街道中关村东路66号院-2
去电记录,未关注,"2021-01-22 08:38:43",00:00:07,00:00:07,10086,10086,中国北京市海淀区中关村街道中关村东路66号院-2
,未关注,"2021-01-22 08:37:30",00:00:00,00:00:00,18310479300,测试账号KKK,中国北京市海淀区中关村街道中关村东路66号院-2
,未关注,"2021-01-22 08:37:14",00:00:00,00:00:00,18310479300,测试账号KKK,中国北京市海淀区中关村街道中关村东路66号院-2
未接来电,未关注,"2021-01-22 08:36:59",00:00:00,00:00:00,18310479300,测试账号KKK,中国北京市海淀区中关村街道中关村东路66号院-2
来电记录,未关注,"2021-01-22 08:36:45",00:00:03,00:00:03,18310479300,测试账号KKK,中国北京市海淀区中关村街道中关村东路66号院-2
去电记录,未关注,"2021-01-22 08:36:24",00:00:03,00:00:03,18310479300,测试账号KKK,中国北京市海淀区中关村街道中关村东路66号院-2
,未关注,"2021-01-22 08:36:08",00:00:00,00:00:00,18310479300,测试账号KKK,中国北京市海淀区中关村街道中关村东路66号院-2
